Referencia interna,Nombre,Tipo de producto
MPTPO108,TOCOPHEROL POLVO,Producto almacenable
MPTEA070,TRIETHANOLAMINE,Producto almacenable
MPTRY188,TRYETHYLHEXANOIN,Producto almacenable
MPUPA136,UNDECYLENOYL PHENYL ALANINE,Producto almacenable
MPURE017,UREA,Producto almacenable
MPVCE189,VANILLA CO2 EXTRACT,Producto almacenable
MPVPF197,VANILLA PLANIFOLIA FRUIT EXTRACT,Producto almacenable
MPVBE078,VANILLYL BUTYL ETHER,Producto almacenable
MPVSS236,VIROLA SURINAMENSIS SEED BUTTER,Producto almacenable
MPVSO175,VITIS VINIFERA (GRAPE) SEED OIL,Producto almacenable
MPXAG126,XANTHAN GUM,Producto almacenable
MPZIN228,ZINC PCA,Producto almacenable
AZHC,AZHC,Producto almacenable
CCAFE,CCAFE,Producto almacenable
CMULP,CMULP,Producto almacenable
CRETT,CRETT,Producto almacenable
CRCUREA,CRCUREA,Producto almacenable
CUREA,CUREA,Producto almacenable
B3+BHA,B3+BHA,Producto almacenable
HKJ,HKJ,Producto almacenable
EMLIM,EMLIM,Producto almacenable
ECENT,ECENT,Producto almacenable
EILU,EILU,Producto almacenable
GELH,GELH,Producto almacenable
LBHA,LBHA,Producto almacenable
LAH,LAH,Producto almacenable
LKJ,LKJ,Producto almacenable
MAXLASH,MAXLASH,Producto almacenable
RECN,RECN,Producto almacenable
NIA,NIA,Producto almacenable
SVITC,SVITC,Producto almacenable
NPHA,NPHA,Producto almacenable
SAH,SAH,Producto almacenable
TRX,TRX,Producto almacenable
SMULPP,SMULPP,Producto almacenable
BHA33,BHA33,Producto almacenable
TRIAC,TRIAC,Producto almacenable
