Nombre,Referencia interna,Tipo de producto
TOCOPHERYL ACETATE,MPTOAC,Producto almacenable
DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER,MPDVDC,Producto almacenable
PROBETAINE,MPPBET,Producto almacenable
TINOGARD TT,MPTGTT,Producto almacenable
QUINCREAM,MPQCR,Producto almacenable
POLYDEOXYRIBONUCLEOTIDE,MPPDNR,Producto almacenable
BEAUTY PROPANEDIOL,MPBPDO,Producto almacenable
BISABOLOL,MPBISA,Producto almacenable
GIGA WHITE EXTRACT,MPGWEX,Producto almacenable
PEG-8,MPPEG8,Producto almacenable
SODIUM TOCOPHERYL PHOSPHATE,MPSTP,Producto almacenable
METHYLSULFONYLMETHANE (MSM),MPMSM,Producto almacenable
POLYAQUOL LW,MPPLW,Producto almacenable
LEXFEEL WOW,MPLFW,Producto almacenable
SYN-AKE,MPSYNK,Producto almacenable
